prior=0.5810504	鄭基高 and Soyou
prior=0.5810161	Rudimental and Major Lazer
prior=0.5808229	Dragon Pig
prior=0.5806402	阿肆 and 郭采潔
prior=0.579712	Demi Lovato
prior=0.5794257	朴載範
prior=0.5793431	Eddy Kim
prior=0.5791275	傅又宣
prior=0.5789392	洪佩瑜
prior=0.5788895	Childish Gambino
prior=0.5788027	任然
prior=0.5786102	ALMA
prior=0.5786046	夜貓組
prior=0.5786046	夜貓組 Leo王春艷
prior=0.5783813	張宇
prior=0.5783428	Carly Rae Jepsen
prior=0.5783085	Charli XCX
prior=0.5781881	Rachel Platten
prior=0.5781566	胡彥斌
prior=0.5781321	NEIKED
prior=0.5779935	甜約翰 Sweet John
prior=0.5779095	艾瑪 史東 凱麗赫 爾南德茲 水野 索諾亞 and 潔西卡 羅瑟
prior=0.5778346	Miley Cyrus
prior=0.577619	休 傑克曼 Keala Settle Daniel Everidge Zendaya and The Greatest Showman Ensemble
prior=0.5775406	丁噹
prior=0.577535	Macklemore and Ryan Lewis
prior=0.5774664	黃明志 and 鄧紫棋
prior=0.5774622	PRODUCE 101
prior=0.5773159	Mad Clown and Kim Na Young
prior=0.577045	青山黛瑪
prior=0.577017	Lil Wayne Wiz Khalifa and Imagine Dragons
prior=0.5765865	A Great Big World and Christina Aguilera
prior=0.5757647	王力宏
prior=0.5757409	SUPER JUNIOR Leslie Grace and Play N Skillz
prior=0.5757318	MP魔幻力量
prior=0.5757283	熊仔 大支 呂士軒 ØZI 吳卓源 and Barry
prior=0.5756233	Noah Kahan and Julia Michaels
prior=0.5752789	R City
prior=0.5750934	HIGHLIGHT
prior=0.5748267	蜜雪兒 威廉絲
prior=0.57477	Backstreet Boys
prior=0.5744718	劉佳
prior=0.5742842	休 傑克曼 and The Greatest Showman Ensemble
prior=0.5741127	溫嵐 and 周杰倫
prior=0.573776	蔡佩軒
prior=0.5737298	李遐怡
prior=0.5735023	David Guetta Martin Garrix and Brooks
prior=0.5734827	10cm
prior=0.5734421	Nicki Minaj
prior=0.5733259	DNCE
prior=0.5733	原子邦妮
prior=0.5728667	Halsey
prior=0.5728646	王笠人
prior=0.5728352	Kygo
prior=0.5727302	Kendrick Lamar
prior=0.5726952	張雨生
prior=0.5726	老王樂隊
prior=0.5723347	華晨宇
prior=0.5720603	Jason Derulo
prior=0.5720148	Redfoo
prior=0.5714142	AMIT
prior=0.5714037	Steve Aoki and Louis Tomlinson
prior=0.5713267	Pitbull
prior=0.5710978	Cash Cash
prior=0.5710124	The Script
prior=0.5710124	Script
prior=0.5709074	魏如昀
prior=0.5706512	Justin Hurwitz
prior=0.5705413	Alec Benjamin
prior=0.5704475	Martin Solveig
prior=0.5704475	周傳雄
prior=0.5703978	田馥甄 and 井柏然
prior=0.5703138	李聖傑
prior=0.5702893	RADWIMPS
prior=0.5702676	David Guetta and Afrojack
prior=0.570206	Kungs and Cookin' On 3 Burners
prior=0.5701689	張懸
prior=0.5700639	Austyn Johnson Cameron Seely and 休 傑克曼
prior=0.5698413	Martin Jensen
prior=0.5697335	胡夏
prior=0.5696698	Fitz and The Tantrums
prior=0.5696299	張韶涵
prior=0.5696271	Portugal The Man
prior=0.5696222	Jessica
prior=0.5695326	胡66
prior=0.5690818	陳嘉樺
prior=0.5688277	NCT U
prior=0.5688249	Lauv
prior=0.5687661	奇蹟女孩
prior=0.568729	miss A
prior=0.568687	Tiësto and Dzeko
prior=0.5686422	HENRY
prior=0.5685771	Usher
prior=0.5685302	Machine Gun Kelly and Camila Cabello
prior=0.568498	Loote
prior=0.5684098	八三夭
prior=0.5684	Zion T
prior=0.5683314	光良
prior=0.5680822	Joel Adams
prior=0.5680808	BEAST
prior=0.5679919	潘瑋柏 and 張韶涵
prior=0.5679009	楊凱琳
prior=0.5678764	Girl's Day
prior=0.5677819	陳零九
prior=0.5675971	Sean Paul
prior=0.5675915	Lana Del Rey
prior=0.5674522	Daft Punk
prior=0.5669083	TIFFANY
prior=0.5667249	SURAN
prior=0.5667011	寶兒
prior=0.5666619	蕭亞軒
prior=0.5666423	Zedd and Liam Payne
prior=0.5665527	KARD
prior=0.5664855	NF
prior=0.566482	好樂團
prior=0.566419	PSY
prior=0.5663679	Julia Michaels
prior=0.5663098	MC HotDog
prior=0.5662727	蛋堡
prior=0.5662601	Nick Jonas
prior=0.566111	88rising Joji Rich Brian Higher Brothers and AUGUST 08
prior=0.5659654	Sigala and Ella Eyre
prior=0.5659388	脆樂團
prior=0.5658058	雷恩 葛斯林
prior=0.5657841	楊曉
prior=0.5656203	南拳媽媽
prior=0.5653725	TFBOYS
prior=0.5653438	Malia Civetz
prior=0.5652759	Wanna One Triple Position
prior=0.5652549	郭靜
prior=0.5651135	KATIE
prior=0.5650876	Sondia
prior=0.5650554	六哲
prior=0.5650295	Tom Walker
prior=0.5649861	Flo Rida
prior=0.5649826	Kanye West
prior=0.5649462	戴佩妮
prior=0.5648797	Khalid
prior=0.5648748	Loco and 화사
prior=0.5645864	郭頂
prior=0.5644856	Yubin
prior=0.5644555	A Lin and 小宇 宋念宇
prior=0.5641265	宇多田光
prior=0.5640341	郭美美
prior=0.5639641	三十萬年老虎鉗
prior=0.5638808	Jason Mraz and Colbie Caillat
prior=0.5638661	張三李四
prior=0.563794	綺拉 奈特莉
prior=0.5634132	ØZI
prior=0.5634076	Disclosure
prior=0.5633607	Ella Mai
prior=0.5633187	艾瑪 史東
prior=0.5632746	Anne Marie and Marshmello
prior=0.5632466	JBJ
prior=0.5632347	董事長樂團
prior=0.5631927	Alicia Keys
prior=0.5631759	戴愛玲
prior=0.5631591	Delaney Jane
prior=0.5630464	Dizzy Dizzo
prior=0.5629995	Beyond
prior=0.5629281	劉思涵
prior=0.5628483	獅子合唱團
prior=0.562674	Robin Schulz David Guetta and Cheat Codes
prior=0.5626418	王嘉爾
prior=0.5624535	gnash
prior=0.5624213	Starley
prior=0.5622561	X Ambassadors
prior=0.5621721	WALK THE MOON
prior=0.561939	Nicky Jam and J Balvin
prior=0.5618676	2NE1
prior=0.561806	李英宏
prior=0.561778	Wanna One The Heal
prior=0.5612474	宋旻浩
prior=0.5611872	Kelly Clarkson
prior=0.561127	John Legend and BloodPop®
prior=0.561085	Eagles
