prior=0.7	Taylor Swift
prior=0.5486236	陈粒
prior=0.5485235	SAM KIM
prior=0.5483275	The Script featuring will i am
prior=0.5482708	纵贯线
prior=0.5482526	小宇 宋念宇
prior=0.5482036	品冠 and 梁静茹
prior=0.54817	Zedd and Liam Payne
prior=0.547904	休 杰克曼
prior=0.547904	Zendaya and The Greatest Showman Ensemble
prior=0.547904	扎克 艾弗
prior=0.547904	Keala Settle
prior=0.547855	Backstreet Boys
prior=0.5475834	任贤齐
prior=0.5474539	DNCE
prior=0.547337	李宗盛 and 梁静茹
prior=0.547239	Fun
prior=0.5471417	伍佰 and China Blue
prior=0.5468631	亚瑟 鲁宾斯坦
prior=0.5466083	Twins
prior=0.5463794	Lana Del Rey and Cedric Gervais
prior=0.5463017	陈鸿宇
prior=0.5461974	A Fine Frenzy
prior=0.5461694	谷微
prior=0.5460623	The xx
prior=0.5460623	xx
prior=0.546035	娃娃
prior=0.5460175	INDIIA
prior=0.5459741	Halsey
prior=0.5459286	Whitney Houston
prior=0.5458453	伍佰
prior=0.5456801	HANA菊梓乔
prior=0.5455548	张芸京
prior=0.5455261	郭富城
prior=0.5453105	Guns N' Roses
prior=0.5451726	张靓颖
prior=0.5450998	Nick Jonas
prior=0.5449136	Mariah Carey
prior=0.5448926	李圣杰
prior=0.5447841	Robin Schulz and Piso 21
prior=0.5447561	南拳妈妈
prior=0.5446287	LSD
prior=0.5445125	Pharrell Williams
prior=0.5443886	NCT 127
prior=0.5443228	刘增瞳
prior=0.5440897	SISTAR
prior=0.5439658	TFBOYS
prior=0.543802	Cash Cash
prior=0.543704	赵方婧
prior=0.5434688	Alice Merton
prior=0.5431734	彭佳慧
prior=0.5431426	EXID
prior=0.5430719	Kate Boy
prior=0.5426785	潘玮柏
prior=0.542612	张学友 and 汤宝如
prior=0.5424433	曹格
prior=0.5424125	宝儿
prior=0.5423537	Produce 101
prior=0.5421213	Kygo and Miguel
prior=0.5420219	Sting
prior=0.5420058	Lauv
prior=0.5416313	窦靖童
prior=0.5416208	Naughty Boy
prior=0.5415634	王诗安
prior=0.5415564	周深
prior=0.5415368	久石让
prior=0.5412505	滨崎步
prior=0.5411525	Kygo
prior=0.5410762	DJ Snake and Lil Jon
prior=0.5410398	Alicia Keys
prior=0.5409775	Juice WRLD
prior=0.5409768	张学友 and 梅艳芳
prior=0.5409124	Anne Marie and Marshmello
prior=0.5408984	南征北战
prior=0.5408214	Selena Gomez and The Scene
prior=0.540799	张信哲 and 刘嘉玲
prior=0.5407969	阿涵
prior=0.5407206	Heize
prior=0.540582	CG and 贺敬轩
prior=0.5405589	The Kooks
prior=0.5405589	Kooks
prior=0.5404735	郁可唯
prior=0.5403692	R City
prior=0.5403559	扎克 艾弗 and Zendaya
prior=0.5402873	4 Non Blondes
prior=0.5402194	Calculasian
prior=0.5401683	阿杜
prior=0.5400892	Wanna One The Heal
prior=0.5400003	Christina Aguilera
prior=0.5399702	那英
prior=0.539952	The Script
prior=0.539952	Script
prior=0.53991	张艾嘉
prior=0.5398813	邓丽君
prior=0.5397735	Pascal Letoublon
prior=0.5396594	赵传
prior=0.5396251	Noah Kahan and Julia Michaels
prior=0.539511	Frank Gamble
prior=0.539217	Alesso
prior=0.5391309	Daniel Powter
prior=0.5390378	罗大佑
prior=0.5390168	Sons of People
prior=0.5387249	GAI
prior=0.5387039	杨乃文
prior=0.5386472	李佳薇
prior=0.5385114	李宇春
prior=0.5383119	Maggie Rogers
prior=0.5382167	丽安娜 刘易斯
prior=0.5381187	Flo Rida and 99 Percent
prior=0.5381082	王建房
prior=0.5381012	MØ
prior=0.5380375	Leslie Grace and Play N Skillz
prior=0.5378919	Wiz Khalifa and PnB Rock
prior=0.5378919	2 Chainz
prior=0.5378919	Young Thug
prior=0.5377897	Hush
prior=0.53774	Jessica
prior=0.5377309	Ziv Zaifman
prior=0.5377309	休 杰克曼 and 米歇尔 威廉姆斯
prior=0.537698	David Guetta and Afrojack
prior=0.5376224	丁当
prior=0.5376196	CG
prior=0.5375279	许美静
prior=0.5374803	张艺兴
prior=0.5374698	刘惜君
prior=0.5374439	林华勇 and 赖剑亮
prior=0.5373907	冷漠
prior=0.5373662	The Black Eyed Peas
prior=0.5373662	Black Eyed Peas
prior=0.5373613	Ricky Martin
prior=0.5372003	Disclosure
prior=0.5369861	Starley
prior=0.536872	Steve Aoki and Louis Tomlinson
prior=0.5368349	艾怡良
