prior=0.7	BLACKPINK
prior=0.5892628	NOTD
prior=0.5889037	Shine
prior=0.5888071	MEGHAN TRAINOR
prior=0.58828	PRODUCE 48
prior=0.5880826	張智霖 and 吳業坤
prior=0.5880672	Mr
prior=0.5878369	SAM KIM
prior=0.5877739	蘇永康
prior=0.5877165	謝和弦
prior=0.5876731	Keira Knightley
prior=0.5872454	Sigala and Paloma Faith
prior=0.5871971	Avril Lavigne
prior=0.5869885	Marshmello
prior=0.5869192	Cardi B Bad Bunny and J Balvin
prior=0.5865321	5 Seconds of Summer
prior=0.5862598	S H E
prior=0.5861912	關楚耀
prior=0.586082	PRODUCE 101
prior=0.5859903	K Will
prior=0.5859182	梁漢文
prior=0.5858202	Bebe Rexha
prior=0.5857474	Chainsmokers and Drew Love
prior=0.5857474	The Chainsmokers and Drew Love
prior=0.5853512	Loco and Punch
prior=0.5851426	周國賢
prior=0.58513	Mike Posner
prior=0.5849991	Drake
prior=0.5849256	XXXTENTACION
prior=0.5848269	王菀之
prior=0.5848192	Jess Glynne
prior=0.5846526	G Eazy x Bebe Rexha
prior=0.5844783	The Weeknd Kendrick Lamar
prior=0.5844783	Weeknd Kendrick Lamar
prior=0.5843943	Shakira
prior=0.5840492	eason and the duo band
prior=0.5840233	符家浚
prior=0.5836852	大壯
prior=0.5836215	MAMAMOO
prior=0.5835207	Girl's Day
prior=0.583492	THE CARTERS
prior=0.583492	CARTERS
prior=0.5834864	王力宏
prior=0.5834759	Hugh Jackman and The Greatest Showman Ensemble
prior=0.5833653	Lasse Lindh
prior=0.5832176	A Great Big World and Christina Aguilera
prior=0.5832148	PRISTIN V
prior=0.5831028	CHUNG HA
prior=0.5829362	Rita Ora
prior=0.5827703	何雁詩
prior=0.5826394	Justin Hurwitz
prior=0.5825897	Céline Dion
prior=0.5824686	Post Malone
prior=0.582428	Emma Stone
prior=0.5821711	農夫
prior=0.5816993	Hailee Steinfeld and BloodPop®
prior=0.5816461	趙學而
prior=0.5814942	謝安琪 and 劉浩龍
prior=0.5813507	方大同
prior=0.5811379	周柏豪 and 蔡卓妍
prior=0.5805177	薛凱琪
prior=0.5804659	余春嬌
prior=0.580391	Westlife
prior=0.5802965	Machine Gun Kelly and Camila Cabello
prior=0.5797806	Heize
prior=0.579572	黃小琥
prior=0.5792507	RADWIMPS
prior=0.5790792	Austyn Johnson Cameron Seely and Hugh Jackman
prior=0.5790155	周湯豪
prior=0.5789959	E-Kids
prior=0.5787922	陳綺貞
prior=0.5783435	陳展鵬 and 胡定欣
prior=0.578305	Twins
prior=0.57806	梁釗峰
prior=0.5779802	G Eazy and Halsey
prior=0.5778801	Khalid and Normani
prior=0.5774146	張學友
prior=0.5773901	I.O.I
prior=0.577381	Maggie Lindemann
prior=0.5773173	KARD
prior=0.5772963	谷微
prior=0.5770121	PSY
prior=0.5768966	庾澄慶
prior=0.5768315	HIGHLIGHT
prior=0.5765592	Kelly Clarkson
prior=0.5765431	曾樂彤
prior=0.5764024	RubberBand
prior=0.5761658	PENTAGON
prior=0.5760776	MINO
prior=0.5759474	Wanna One Triple Position
prior=0.5758228	梁詠琪
prior=0.5752649	小潘潘
prior=0.5751074	容祖兒 and 羅力威
prior=0.5750017	Ryan Gosling
prior=0.5748155	鄭融
prior=0.5740658	Jason Mraz and Colbie Caillat
prior=0.5740287	Kygo and Ellie Goulding
prior=0.5739636	Alessia Cara
prior=0.5739181	黃淑蔓
prior=0.5737816	f x
prior=0.5737816	f
prior=0.5736605	Eddy Kim
prior=0.573545	小塵埃
prior=0.5735226	李克勤
prior=0.5733462	Epik High
prior=0.573181	許志安
prior=0.5730802	彭家麗 and 蘇永康
prior=0.5729108	Pitbull
prior=0.5727253	Eagles
prior=0.572649	袁婭維
prior=0.5726441	謝霆鋒 and 廿四味
prior=0.5726434	SUPER JUNIOR Leslie Grace and Play N Skillz
prior=0.572579	Childish Gambino
prior=0.5724747	Wanna One The Heal
prior=0.5724103	王傑
prior=0.5722626	陳曉東
prior=0.5719091	Daft Punk
prior=0.5718881	Redfoo
prior=0.5718118	Years and Years
prior=0.5717131	鍾 憲 and 麥貝夷
prior=0.5716515	閻奕格
prior=0.5713596	Loud Luxury
prior=0.571193	ONE OK ROCK
prior=0.571151	Beyond
prior=0.5710614	Little Mix
prior=0.571039	傅又宣
prior=0.5707681	Super Girls
prior=0.5706666	MNEK
prior=0.5705959	HyunA
prior=0.5702977	任然
prior=0.5702893	DNCE
prior=0.57015	Demi Lovato
prior=0.5700149	王浩信 and 譚嘉儀
prior=0.5700107	Lorde
prior=0.5699589	Kesha
prior=0.5699498	方皓玟 and RubberBand
prior=0.5695711	余文樂
prior=0.5694843	Nicki Minaj
prior=0.5694738	BEAST
prior=0.5693723	古天樂
prior=0.5693653	Khalid
prior=0.5691945	B.o.B
prior=0.5691511	Bazzi
prior=0.5686772	溫嵐 and 周杰倫
prior=0.5686744	曹格
prior=0.5686569	King Princess
prior=0.5684308	miss A
prior=0.5682894	Knock
prior=0.5678974	廿四味
prior=0.567882	French Montana
prior=0.5678295	吳亦凡
